Score Category,Name,Score,KER
< -3 ,Adam Vinatieri,0.7529200145176479,-0.031164672310317387
< -3 ,Aldrick Rosas,0.8262468981742859,0.04216221134632059
< -3 ,Austin Seibert,0.7905648897091547,0.006480202881189445
< -3 ,Brandon McManus,0.7508638828992844,-0.033220803928680875
< -3 ,Brett Maher,0.7627156131407794,-0.02136907368718588
< -3 ,Cairo Santos,0.8408267072268895,0.056742020398924176
< -3 ,Chris Boswell,0.807142156011918,0.023057469183952684
< -3 ,Cody Parkey,0.7961622639135881,0.012077577085622848
< -3 ,Dan Bailey,0.8377132485894596,0.05362856176149433
< -3 ,Daniel Carlson,0.8217038237131559,0.037619136885190585
< -3 ,Dustin Hopkins,0.7891028007945499,0.005018113966584581
< -3 ,Graham Gano,0.7843694044993474,0.000284717671382162
< -3 ,Greg Zuerlein,0.7716651531783018,-0.012419533649663528
< -3 ,Harrison Butker,0.7778642939196693,-0.006220392908296013
< -3 ,Jake Elliott,0.7743649482727051,-0.009719738555260204
< -3 ,Jason Myers,0.7356024108551167,-0.0484822759728486
< -3 ,Jason Sanders,0.7642353137857035,-0.019849373042261753
< -3 ,Joey Slye,0.7902496362987318,0.006164949470766512
< -3 ,Josh Lambo,0.7743329322338104,-0.009751754594154893
< -3 ,Justin Tucker,0.7906925922090356,0.006607905381070367
< -3 ,Ka'imi Fairbairn,0.8034186754375696,0.019333988609604336
< -3 ,Mason Crosby,0.7925443882527559,0.008459701424790578
< -3 ,Matt Bryant,0.760179074605306,-0.0239056122226593
< -3 ,Matt Gay,0.7381128045645627,-0.04597188226340254
< -3 ,Matt Prater,0.7832378460013348,-0.0008468408266304461
< -3 ,Michael Badgley,0.8361416288784572,0.05205694205049194
< -3 ,Nick Folk,0.8512575521188623,0.06717286529089705
< -3 ,Randy Bullock,0.7591297492898744,-0.02495493753809086
< -3 ,Robbie Gould,0.8437932382027308,0.059708551374765495
< -3 ,Rodrigo Blankenship,0.8648708264032999,0.08078613957533465
< -3 ,Ryan Succop,0.8173452835333975,0.033260596705432244
< -3 ,Sam Ficken,0.7210752964019775,-0.06300939042598774
< -3 ,Stephen Gostkowski,0.763416588306427,-0.02066809852153828
< -3 ,Stephen Hauschka,0.7457460641860962,-0.03833862264186905
< -3 ,Tyler Bass,0.7102961242198944,-0.07378856260807087
< -3 ,Wil Lutz,0.7583589647945604,-0.02572572203340484
< -3 ,Younghoe Koo,0.8187096927847181,0.034625005956752775
< -3 ,Zane Gonzalez,0.7662082724273205,-0.017876414400644802
-3 - 3,Adam Vinatieri,0.8096993934540522,0.019148017712153687
-3 - 3,Aldrick Rosas,0.8606823001589093,0.07013092441701085
-3 - 3,Austin Seibert,0.7730285708720868,-0.017522804869811726
-3 - 3,Brandon McManus,0.7781381569802761,-0.01241321876162238
-3 - 3,Brett Maher,0.7931402613719304,0.0025888856300319008
-3 - 3,Cairo Santos,0.7820495590567589,-0.008501816685139607
-3 - 3,Chris Boswell,0.8475363965957395,0.05698502085384105
-3 - 3,Cody Parkey,0.7803812705808215,-0.01017010516107697
-3 - 3,Dan Bailey,0.7908559996506264,0.0003046239087278746
-3 - 3,Daniel Carlson,0.8469721769031725,0.056420801161274015
-3 - 3,Dustin Hopkins,0.7638057994431463,-0.026745576298752183
-3 - 3,Graham Gano,0.8254452663309434,0.03489389058904491
-3 - 3,Greg Zuerlein,0.7684459951908692,-0.022105380551029286
-3 - 3,Harrison Butker,0.8076354335336124,0.017084057791713958
-3 - 3,Jake Elliott,0.8306007720530033,0.04004939631110482
-3 - 3,Jason Myers,0.7953867825769609,0.00483540683506245
-3 - 3,Jason Sanders,0.7500742077827454,-0.040477167959153126
-3 - 3,Joey Slye,0.6522327926423814,-0.13831858309951706
-3 - 3,Josh Lambo,0.7932047613642432,0.0026533856223447394
-3 - 3,Justin Tucker,0.8011010620329115,0.01054968629101305
-3 - 3,Ka'imi Fairbairn,0.7953809514641762,0.0048295757222777125
-3 - 3,Mason Crosby,0.7894473309102266,-0.0011040448316719242
-3 - 3,Matt Bryant,0.7140254728934344,-0.07652590284846406
-3 - 3,Matt Gay,0.770036301442555,-0.020515074299343516
-3 - 3,Matt Prater,0.8035619490676456,0.013010573325747066
-3 - 3,Michael Badgley,0.7713896610907146,-0.01916171465118388
-3 - 3,Nick Folk,0.7347184279385734,-0.05583294780332504
-3 - 3,Randy Bullock,0.7817567493234362,-0.008794626418462292
-3 - 3,Robbie Gould,0.7907031629143692,0.0001517871724706632
-3 - 3,Rodrigo Blankenship,0.8313152148173406,0.04076383907544212
-3 - 3,Ryan Succop,0.8217741109076,0.03122273516570151
-3 - 3,Sam Ficken,0.8290875429908434,0.03853616724894493
-3 - 3,Stephen Gostkowski,0.7933655306696892,0.0028141549277906908
-3 - 3,Stephen Hauschka,0.7692086602512159,-0.021342715490682562
-3 - 3,Tyler Bass,0.7077012685212222,-0.08285010722067632
-3 - 3,Wil Lutz,0.8329216008600981,0.042370225118199656
-3 - 3,Younghoe Koo,0.8047564761205153,0.014205100378616775
-3 - 3,Zane Gonzalez,0.7847629865774741,-0.005788389164424368
> 3,Adam Vinatieri,0.8040499712030093,0.009564566425057874
> 3,Aldrick Rosas,0.7586656144032111,-0.03581979037474026
> 3,Austin Seibert,0.7432378927866617,-0.05124751199128963
> 3,Brandon McManus,0.7309617608785629,-0.06352364389938847
> 3,Brett Maher,0.7589733944489405,-0.03551201032901086
> 3,Cairo Santos,0.8302281349897385,0.03574273021178709
> 3,Chris Boswell,0.8013003425938743,0.006814937815922906
> 3,Cody Parkey,0.8291243768873668,0.03463897210941547
> 3,Dan Bailey,0.8269832034905752,0.032497798712623815
> 3,Daniel Carlson,0.755455365547767,-0.03903003923018433
> 3,Dustin Hopkins,0.7784566330282312,-0.016028771749720172
> 3,Graham Gano,0.7349234904561724,-0.05956191432177893
> 3,Greg Zuerlein,0.7882444307208061,-0.006240974057145299
> 3,Harrison Butker,0.8333656154572964,0.038880210679344995
> 3,Jake Elliott,0.7203942669762505,-0.07409113780170085
> 3,Jason Myers,0.8037457791241732,0.009260374346221845
> 3,Jason Sanders,0.7706704437732697,-0.023814961004681723
> 3,Joey Slye,0.8128872215747833,0.01840181679683195
> 3,Josh Lambo,0.8148496225476265,0.02036421776967512
> 3,Justin Tucker,0.7813008419104985,-0.013184562867452843
> 3,Ka'imi Fairbairn,0.7774607494473458,-0.017024655330605598
> 3,Mason Crosby,0.7829971623420715,-0.01148824243587987
> 3,Matt Bryant,0.7600633203983307,-0.03442208437962069
> 3,Matt Gay,0.7790600638836622,-0.015425340894289152
> 3,Matt Prater,0.773042906271784,-0.021442498506167418
> 3,Michael Badgley,0.8060285028289346,0.011543098050983192
> 3,Nick Folk,0.8508754014968872,0.05638999671893585
> 3,Randy Bullock,0.7797841658959022,-0.014701238882049217
> 3,Robbie Gould,0.8211039201073025,0.02661851532935111
> 3,Rodrigo Blankenship,0.8211891707032919,0.026703765925340517
> 3,Ryan Succop,0.8684593571556939,0.07397395237774251
> 3,Sam Ficken,0.7472636103630066,-0.047221794414944784
> 3,Stephen Gostkowski,0.7736656978726387,-0.02081970690531265
> 3,Stephen Hauschka,0.7607540530817849,-0.03373135169616648
> 3,Tyler Bass,0.8065087373058001,0.012023332527848707
> 3,Wil Lutz,0.8100890427827835,0.01560363800483211
> 3,Younghoe Koo,0.8159032251153674,0.021417820337416016
> 3,Zane Gonzalez,0.8310062885284424,0.03652088375049101
